"hourstamp","week","day_of_week","metric","value"
"2017-02-02 23:00:00.000","5","4","countUL","6922"
"2017-02-02 23:00:00.000","5","4","gtpv1sum","62155"
"2017-02-02 23:00:00.000","5","4","gtpv2sum","1"
"2017-02-02 23:00:00.000","5","4","imsisum","15955"
"2017-02-02 23:00:00.000","5","4","mapsum","65296"
"2017-02-02 23:00:00.000","5","4","usagesum","391095678"
"2017-02-03 00:00:00.000","5","5","countCL","6376"
"2017-02-03 00:00:00.000","5","5","countSAI","44192"
"2017-02-03 00:00:00.000","5","5","countUGL","2862"
"2017-02-03 00:00:00.000","5","5","countUL","6596"
"2017-02-03 00:00:00.000","5","5","gtpv1sum","66281"
"2017-02-03 00:00:00.000","5","5","gtpv2sum","0"
"2017-02-03 00:00:00.000","5","5","imsisum","15151"
"2017-02-03 00:00:00.000","5","5","mapsum","63373"
"2017-02-03 00:00:00.000","5","5","usagesum","374524338"
"2017-02-03 01:00:00.000","5","5","countCL","5974"
"2017-02-03 01:00:00.000","5","5","countSAI","42243"
"2017-02-03 01:00:00.000","5","5","countUGL","2697"
"2017-02-03 01:00:00.000","5","5","countUL","6353"
"2017-02-03 01:00:00.000","5","5","gtpv1sum","64358"
"2017-02-03 01:00:00.000","5","5","gtpv2sum","0"
"2017-02-03 01:00:00.000","5","5","imsisum","15183"
"2017-02-03 01:00:00.000","5","5","mapsum","61495"
"2017-02-03 01:00:00.000","5","5","usagesum","399601145"
"2017-02-03 02:00:00.000","5","5","countCL","5715"
"2017-02-03 02:00:00.000","5","5","countSAI","40624"
"2017-02-03 02:00:00.000","5","5","countUGL","2678"
"2017-02-03 02:00:00.000","5","5","countUL","6037"
"2017-02-03 02:00:00.000","5","5","gtpv1sum","58265"
"2017-02-03 02:00:00.000","5","5","gtpv2sum","0"
"2017-02-03 02:00:00.000","5","5","imsisum","14987"
"2017-02-03 02:00:00.000","5","5","mapsum","59002"
"2017-02-03 02:00:00.000","5","5","usagesum","342000476"
"2017-02-03 03:00:00.000","5","5","countCL","5733"
"2017-02-03 03:00:00.000","5","5","countSAI","41027"
"2017-02-03 03:00:00.000","5","5","countUGL","2812"
"2017-02-03 03:00:00.000","5","5","countUL","6181"
"2017-02-03 03:00:00.000","5","5","gtpv1sum","59813"
"2017-02-03 03:00:00.000","5","5","gtpv2sum","1"
"2017-02-03 03:00:00.000","5","5","imsisum","14507"
"2017-02-03 03:00:00.000","5","5","mapsum","60101"
"2017-02-03 03:00:00.000","5","5","usagesum","363652494"
"2017-02-03 04:00:00.000","5","5","countCL","6855"
"2017-02-03 04:00:00.000","5","5","countSAI","42784"
"2017-02-03 04:00:00.000","5","5","countUGL","3280"
"2017-02-03 04:00:00.000","5","5","countUL","6989"
